candidate_id,search_stage,architecture,coupling_envelope,coupling_od_mm,coupling_body_length_mm,required_engagement_mm,sliding_stroke_mm,stub_length_mm,stack_outward_shift_each_mm,center_end_gap_mm,coupling_body_mutual_clearance_mm,engagement_margin_mm,total_width_mm,left_right_independent,direct_left_right_coupling,status,rejection_reason
S12-C1-MEDIUM-STUB7.5-SHIFT12.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,12.5,71.0,6.0,-6.5,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB7.5-SHIFT15-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,15.0,76.0,11.0,-6.5,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT0-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,0.0,41.0,-19.0,-4.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT2.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,2.5,46.0,-14.0,-4.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,5.0,51.0,-9.0,-4.0,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT7.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,7.5,56.0,-4.0,-4.0,294.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT10-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,10.0,61.0,1.0,-4.0,299.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT12.5-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,12.5,66.0,6.0,-4.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB10-SHIFT15-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,15.0,71.0,11.0,-4.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-MEDIUM-STUB12.5-SHIFT0-RES2,12,C1,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,12.5,0.0,36.0,-19.0,-1.5,290.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
